session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
gng_flex,flex,Fp1,prefrontal,2,6.831353816553626,21.557981631877155,3.768115942028986,0.0
gng_flex,flex,Pz,parietal,2,6.831353816553626,19.6591360126138,4.63768115942029,0.0
gng_flex,flex,Cz,central,2,6.831353816553626,17.679631704332486,1.1594202898550725,0.0
gng_flex,flex,O1,occipital,2,6.831353816553626,36.141776788671166,6.086956521739131,2.0904159341213426
gng_flex,flex,PO9,occipital,2,6.831353816553626,39.35535681152105,9.855072463768117,2.787221245495123
gng_flex,flex,P3,parietal,2,6.831353816553626,18.961873093769245,3.4782608695652173,0.3484026556868904
gng_flex,flex,P7,parietal,2,6.831353816553626,25.809014269677213,4.9275362318840585,1.3936106227475615
gng_flex,flex,CP1,centro-parietal,2,6.831353816553626,17.53804814622079,1.7391304347826086,0.3484026556868904
gng_flex,flex,CP5,centro-parietal,2,6.831353816553626,16.019898584729347,4.9275362318840585,1.0452079670606713
gng_flex,flex,C4,central,2,6.831353816553626,16.27835917524404,0.0,0.0
gng_flex,flex,T8,central,2,6.831353816553626,26.94941393533541,6.086956521739131,1.742013278434452
gng_flex,flex,FC2,fronto-central,2,6.831353816553626,15.338295006159989,0.0,0.0
gng_flex,flex,FC6,fronto-central,2,6.831353816553626,21.470493529538416,0.2898550724637681,0.0
gng_flex,flex,FT10,fronto-central,2,6.831353816553626,27.522250094995876,4.3478260869565215,1.0452079670606713
gng_flex,flex,F4,frontal,2,6.831353816553626,20.705762003619483,0.5797101449275363,0.0
gng_flex,flex,F8,frontal,2,6.831353816553626,20.50479981955446,1.4492753623188406,0.0
gng_flex,flex,Fp2,prefrontal,2,6.831353816553626,15.843450772500592,2.608695652173913,0.0
gng_flex,flex,Oz,occipital,2,6.831353816553626,42.06183345666787,8.405797101449275,2.438818589808233
gng_flex,flex,Fz,frontal,2,6.831353816553626,17.377773002233113,2.898550724637681,0.0
gng_flex,flex,O2,occipital,2,6.831353816553626,25.538380937197388,6.086956521739131,1.3936106227475615
gng_flex,flex,PO10,occipital,2,6.831353816553626,25.904134563622197,10.434782608695652,2.438818589808233
gng_flex,flex,P4,parietal,2,6.831353816553626,18.004908172296545,5.217391304347826,1.742013278434452
