session,device,channel,region,state,pair,duration_s,hf_20_40_uv_rms,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,rail_pct,marked_bad
gng_flex,flex,F3,frontal,open,2,65.99329999999998,2.385042235419724,22.443596600036443,2.4190938263202018,0.0,0.4736753856472166,False
gng_flex,flex,F7,frontal,open,2,65.99329999999998,1.760244204047475,22.241577980246568,3.0639095775571064,0.0,0.482897384305835,False
gng_flex,flex,Fp1,prefrontal,open,2,65.99329999999998,2.9621171046897112,24.524184669250303,3.3180815827475456,0.0,1.5425888665325285,False
gng_flex,flex,Pz,parietal,open,2,65.99329999999998,1.3927135058632087,17.062122261127268,2.322566787558136,0.0,0.613682092555332,False
gng_flex,flex,Cz,central,open,2,65.99329999999998,1.0020744724658153,14.932610004464042,1.7278220258515986,0.0,0.4535546613011402,False
gng_flex,flex,O1,occipital,open,2,65.99329999999998,3.7382337293539045,34.162467091103295,2.9757675022702745,0.0,2.0129107981220655,True
gng_flex,flex,PO9,occipital,open,2,65.99329999999998,2.617656095857956,34.55372889243461,2.486809184208724,0.0,1.0848423876592892,True
gng_flex,flex,P3,parietal,open,2,65.99329999999998,1.5692769525144037,18.607164531417983,2.387853227418269,0.0,0.4753521126760563,False
gng_flex,flex,P7,parietal,open,2,65.99329999999998,1.9297284427742403,22.62227385180265,1.7447255790914165,0.0,0.4954728370221328,False
gng_flex,flex,CP1,centro-parietal,open,2,65.99329999999998,1.0756299548067916,14.10015590447651,2.717544940993299,0.0,0.534037558685446,False
gng_flex,flex,CP5,centro-parietal,open,2,65.99329999999998,1.3937776408813778,15.151164426650288,2.648310545628359,0.0,0.41918175720992623,False
gng_flex,flex,C4,central,open,2,65.99329999999998,1.3183454200020208,15.987709650244042,5.87510875088652,0.0,0.5549966465459424,False
gng_flex,flex,T8,central,open,2,65.99329999999998,2.6481004885793955,27.379616843131267,5.475814912197242,1.5151515151515151,0.8735747820254862,False
gng_flex,flex,FC2,fronto-central,open,2,65.99329999999998,1.2870964400158051,14.309889769480368,1.8977140414990117,0.0,0.37139503688799463,False
gng_flex,flex,FC6,fronto-central,open,2,65.99329999999998,2.2290994971626885,21.81457023512853,3.0351674612266635,0.0,0.5918846411804158,False
gng_flex,flex,FT10,fronto-central,open,2,65.99329999999998,1.9790370861405981,27.13568673546564,2.234986840361477,0.0,0.6027833668678739,False
gng_flex,flex,F4,frontal,open,2,65.99329999999998,2.3635743990112252,21.14407807384234,2.8796151077848413,0.0,0.562541918175721,False
gng_flex,flex,F8,frontal,open,2,65.99329999999998,1.693219307918733,20.62927282191952,1.8992623399623552,0.0,0.7042253521126761,False
gng_flex,flex,Fp2,prefrontal,open,2,65.99329999999998,1.7611928619339472,17.443822889150834,2.799504926276197,0.0,1.4017437961099932,False
gng_flex,flex,Oz,occipital,open,2,65.99329999999998,3.1920926150573017,57.8995876671291,3.574338332030096,3.0303030303030303,1.2692823608316566,False
gng_flex,flex,Fz,frontal,open,2,65.99329999999998,1.579520923203623,17.82554373680225,2.5559368889115532,0.0,0.4678068410462776,False
gng_flex,flex,O2,occipital,open,2,65.99329999999998,1.825051628283799,22.165670118218788,4.446378658170453,0.7575757575757576,1.063044936284373,False
gng_flex,flex,PO10,occipital,open,2,65.99329999999998,1.9389071317217323,22.2340737727915,5.687409516401534,1.5151515151515151,0.8601609657947685,True
gng_flex,flex,P4,parietal,open,2,65.99329999999998,1.3564968965483148,15.518171431143566,6.587111063702224,0.7575757575757576,0.6212273641851107,False
gng_flex,flex,P8,parietal,open,2,65.99329999999998,2.4699705665323752,23.99028473785267,2.043842215182689,0.0,0.9347753185781355,False
gng_flex,flex,CP2,centro-parietal,open,2,65.99329999999998,1.109392370076546,14.824278487577963,1.8899954084238002,0.0,0.6790744466800805,False
gng_flex,flex,CP6,centro-parietal,open,2,65.99329999999998,2.449467195237467,21.562049895248236,1.5888760942791786,0.0,0.7109322602280348,False
oddball_flex,flex,C3,central,closed,1,56.9546,0.9200326060542617,12.117141126300512,2.4748741759638886,0.0,0.33800290481704337,False
oddball_flex,flex,T7,central,closed,1,56.9546,1.2447082871913469,18.251320110957458,2.5555748493435964,0.0,0.15996573119064034,False
oddball_flex,flex,FC1,fronto-central,closed,1,56.9546,1.0640440553266857,18.394830774706698,3.335470063231689,0.0,0.2958362058002637,False
oddball_flex,flex,FC5,fronto-central,closed,1,56.9546,1.2435477417459877,15.839997002660866,2.5454839577192416,0.0,0.33800290481704337,False
oddball_flex,flex,FT9,fronto-central,closed,1,56.9546,1.8643654451470202,28.160090439602257,2.539572741956945,0.0,0.17736786094359702,False
oddball_flex,flex,F3,frontal,closed,1,56.9546,1.1078195911332833,15.599477186056596,4.493575582984101,0.0,0.5334422081964031,False
oddball_flex,flex,F7,frontal,closed,1,56.9546,1.524277362411719,19.620540819025997,2.802997650195508,0.0,0.4819051316203391,False
oddball_flex,flex,Fp1,prefrontal,closed,1,56.9546,1.5033237925443956,19.62190743118344,3.155260131936313,0.0,2.596263896604577,False
oddball_flex,flex,Pz,parietal,closed,1,56.9546,1.1894115577697064,14.455746988900902,2.6543657575501247,0.0,0.19075411459971756,False
oddball_flex,flex,Cz,central,closed,1,56.9546,0.9629305229349258,13.278136381610679,2.6702812865783394,0.0,0.3895399813931074,False
oddball_flex,flex,O1,occipital,closed,1,56.9546,4.370610449234773,34.45678546459662,2.2733320561954344,0.0,3.054743084326705,False
oddball_flex,flex,PO9,occipital,closed,1,56.9546,2.3471179017508756,33.163682475956406,4.431948361535614,4.385964912280701,1.364059247558682,True
oddball_flex,flex,P3,parietal,closed,1,56.9546,1.40787672794662,15.769539488558951,2.2171419326938104,0.0,0.3226087131125048,False
oddball_flex,flex,P7,parietal,closed,1,56.9546,1.8350082058614787,20.62329716852115,2.325697368956463,0.0,0.3848547926134652,False
oddball_flex,flex,CP1,centro-parietal,closed,1,56.9546,0.9683017404727475,12.878646985967132,3.5864201219662672,0.0,0.35473572188719404,False
oddball_flex,flex,CP5,centro-parietal,closed,1,56.9546,1.1047791988387625,13.597900328062224,2.1129012361656065,0.0,0.17602923557798497,False
oddball_flex,flex,C4,central,closed,1,56.9546,1.107676786032018,13.013341413975997,2.480519385914806,0.0,0.5836406594068551,False
oddball_flex,flex,T8,central,closed,1,56.9546,1.5632906509980882,19.95665202809289,2.277872168730325,0.0,0.7884503403454992,False
oddball_flex,flex,FC2,fronto-central,closed,1,56.9546,1.1055035528627026,12.904084363373805,3.293234197003685,0.0,0.3098917721391902,False
oddball_flex,flex,FC6,fronto-central,closed,1,56.9546,1.2406429667174823,16.827533641075572,4.321871965767366,0.0,0.6519105530530698,False
