time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block
660.6101,GnG-low,nogo,84549,2.093611363193304,False,True,,1
662.3589,GnG-low,nogo,84773,3.567865459672248,False,True,,1
664.2135,GnG-low,nogo,85010,0.7395557021254717,False,True,,1
665.8098,GnG-low,nogo,85214,-1.5450627370228176,False,True,,1
667.4662,GnG-low,nogo,85426,-1.5099032071930196,False,True,,1
669.1724,GnG-low,nogo,85645,3.2987714906766996,False,True,,1
670.6302,GnG-low,nogo,85831,-1.0081381627742303,False,True,,1
672.3642,GnG-high,go,86053,-0.6652654446952511,True,True,0.2970771138811706,1
673.974,GnG-low,nogo,86259,-0.7737840186337053,False,True,,1
675.3795,GnG-high,go,86439,0.10527036920393584,True,True,0.36561558484920703,1
677.1875,GnG-low,nogo,86670,-3.0721169896423817,False,True,,1
678.8119,GnG-low,nogo,86878,-2.377039112047896,False,True,,1
680.1476,GnG-low,nogo,87049,-1.85386161660972,False,True,,1
681.8238,GnG-high,go,87264,1.770038752624714,True,True,0.3316795057412295,1
683.4575,GnG-low,nogo,87473,1.1002792348335788,False,True,,1
685.0591,GnG-low,nogo,87678,1.2655070590881223,False,True,,1
687.0049,GnG-low,nogo,87927,1.0626988658941627,False,True,,1
688.6513,GnG-high,go,88138,3.2120303635565506,True,True,0.3448513055892537,1
690.1548,GnG-low,nogo,88330,-0.2316852148851467,False,True,,1
691.6883,GnG-low,nogo,88526,-2.2126909373128,False,True,,1
693.5224,GnG-high,go,88761,-0.12622929182271037,True,True,0.31153694910690743,1
694.9275,GnG-low,nogo,88941,1.0182428429743595,False,True,,1
696.732,GnG-low,nogo,89172,1.3849985152774025,False,True,,1
698.2983,GnG-low,nogo,89372,-2.1215178472857588,False,True,,1
699.8924,GnG-low,nogo,89576,-2.060076355746787,False,True,,1
701.6914,GnG-low,nogo,89807,3.467281999860461,False,True,,1
703.5474,GnG-high,go,90044,-0.3778995784387007,True,True,0.3219839508494525,1
704.874,GnG-low,nogo,90214,0.9177249264666898,False,True,,1
706.7916,GnG-low,nogo,90459,-2.1899236339777417,False,True,,1
708.3546,GnG-low,nogo,90659,-2.758531461381608,False,True,,1
710.2279,GnG-high,go,90899,-0.5722084334820465,True,True,0.3240472418094817,1
711.8332,GnG-low,nogo,91105,3.534270764248504,False,True,,1
713.5675,GnG-low,nogo,91326,-3.8184242683882985,False,True,,1
715.0873,GnG-low,nogo,91521,-0.1506447596284488,False,True,,1
716.8216,GnG-low,nogo,91743,0.23682243340772402,False,True,,1
718.609,GnG-low,nogo,91972,1.933941992660948,False,True,,1
720.1395,GnG-low,nogo,92168,2.8235520196631114,False,True,,1
721.7586,GnG-high,go,92375,1.1099287959268622,True,True,0.2683848334416935,1
723.6336,GnG-low,nogo,92615,1.3718443234438382,False,True,,1
725.0891,GnG-low,nogo,92801,-0.932792393427917,False,True,,1
726.906,GnG-low,nogo,93034,2.7094542047052528,False,True,,1
728.4818,GnG-low,nogo,93235,-2.4902958161874267,False,True,,1
730.2885,GnG-low,nogo,93467,3.4731562724346077,False,True,,1
731.718,GnG-high,go,93650,3.7423959519173877,True,True,0.30073328060925875,1
733.4012,GnG-low,nogo,93865,0.4949852229856333,False,True,,1
735.172,GnG-high,go,94092,3.5657233006531897,True,True,0.42462523955743614,1
737.2032,GnG-low,nogo,94352,3.4329154185570587,False,True,,1
738.9214,GnG-low,nogo,94571,-3.4872273761266115,False,True,,1
740.4949,GnG-low,nogo,94773,1.211567888844911,False,True,,1
742.3706,GnG-low,nogo,95013,0.7517114229358413,False,True,,1
743.9231,GnG-low,nogo,95212,3.3518408745294437,False,True,,1
745.6709,GnG-low,nogo,95435,-2.0772450105823737,False,True,,1
747.29,GnG-high,go,95643,3.8709187147105695,True,True,0.3884176390048874,1
749.0079,GnG-high,go,95862,-2.8289172945505925,True,True,0.3873211606967357,1
750.9868,GnG-low,nogo,96116,2.7485276356173927,False,True,,1
752.4069,GnG-low,nogo,96297,-3.1670257139921887,False,True,,1
754.1227,GnG-low,nogo,96517,-0.06764672446024633,False,True,,1
755.8117,GnG-low,nogo,96733,-1.1896862213234272,False,True,,1
757.5661,GnG-low,nogo,96958,2.277633782796329,False,True,,1
759.4641,GnG-low,nogo,97201,3.0104370208619002,False,True,,1
761.0739,GnG-low,nogo,97407,2.6714882291116737,False,True,,1
762.484,GnG-high,go,97587,-1.003356741080097,True,True,0.3836275861943266,1
764.237,GnG-low,nogo,97811,-3.8375594075432673,False,True,,1
765.9247,GnG-low,nogo,98027,-3.783180171467393,False,True,,1
767.3171,GnG-high,go,98206,2.388676206692253,True,True,0.34369109211856497,1
